UUID,タイムスタンプ (UTC),バンド,周波数,単位,コールサイン,RST,メモ
"af42385a-3a82-47f7-b9b5-199a5b25ce76","2025-11-15T08:38:01.392Z","VHF",145.340,"MHz","","","時間の話するおっさん"
"ddcd8d57-6164-4e78-aee0-383d9353a0e9","2025-11-14T12:16:24.535Z","UHF",352.600,"MHz","","","機械のような音
干渉"
"5957a915-2320-40c1-a5d5-2d39ee85efcb","2025-11-14T11:58:08.747Z","VHF",148.350,"MHz","","","干渉"
"9ae3c5ca-fd77-4e46-a7ff-fa33c5279c1f","2025-11-12T11:08:09.570Z","UHF",451.250,"MHz","","","干渉"
"8e5e14b0-d24a-4477-8ead-755ebb50893f","2025-11-12T11:06:44.495Z","UHF",447.975,"MHz","","","何かの信号"
"4a688652-3faa-4e77-bca9-c4e0a1d38c12","2025-11-12T11:05:21.230Z","UHF",445.050,"MHz","","","干渉
何かの電波？"
"daee5901-9e28-4ddb-9f74-8d38b4a81a58","2025-11-12T11:03:28.194Z","UHF",437.500,"MHz","","","干渉"
"e0f32107-87cf-4644-946b-2590e5e89cdf","2025-11-12T11:00:08.473Z","UHF",415.975,"MHz","","","干渉"
"378ec608-3e5d-4730-bc0d-f4145a6ec85f","2025-11-11T01:55:19.656Z","VHF",124.200,"MHz","","","NRT departures"
"4260a309-28f2-4f01-9a81-ae6c04c7a9f1","2025-11-10T14:51:51.896Z","UHF",399.800,"MHz","","","JR常磐線"
"294aa57e-30b1-416f-8f40-0553a6991414","2025-11-09T09:00:23.075Z","MF",594.000,"kHz","","","岩手県地震情報"
"6e791f7c-5282-4cc2-8ff9-4412e4de82b8","2025-11-09T07:26:47.039Z","MF",594.000,"kHz","","","相撲の話"
"066d7bd4-61a1-4df8-9a2e-7cf9311f055c","2025-11-02T14:21","MF",590.000,"kHz","","","音楽放送
https://www.shazam.com/track/226498/all-around-the-world?co=JP&referrer=siri&offsetInMilliseconds=93671&timeSkew=4.1902065E-4&trackLength=578826&startDate=2025-11-02T14:22:05.075Z#%7B%22title%22:%22All%20Around%20the%20World%22,%22artist%22:%22%E3%82%AA%E3%82%A2%E3%82%B7%E3%82%B9%22%7D"
"1a5689e1-88b1-4008-8eb7-b4635ab31861","2025-10-31T14:33","MF",690.000,"kHz","","","ロシア語の講座
金曜日の夜"
"33ad5499-9a0e-4c17-8928-9c8e35ab0034","2025-10-30T11:54","VHF",80.500,"MHz","","","TOKYO FM"
"6307ee7e-aad0-445e-a2ae-cd4374219491","2025-10-30T11:50","MF",980.000,"kHz","","","子育ての話"
"25d9dfe5-a586-45f3-bd09-4dec2d2a4c41","2025-10-30T11:49","MF",690.000,"kHz","","","英語の講座"
"bf2b6e1e-8990-45a3-b87f-773d005ec7c9","2025-10-30T11:48","MF",590.000,"kHz","","","野球"
"41ba0999-cb6b-491f-a6a1-6ef6bb35ca57","2025-10-25T06:45","FM",82.500,"MHz","","","古い音楽の話"
"356d8b0f-9597-47ff-90f4-cd4dc366acbd","2025-10-25T06:43","FM",81.500,"MHz","","","本の話（80MHzの電波はこれ？）"
"ec1821b2-f9ae-432e-b7fc-a80c0a941aab","2025-10-25T06:42","FM",80.000,"MHz","","","本の話"
"7bfb0465-5185-48d4-a508-d6c94dfb33f3","2025-10-25T06:38","FM",78.000,"MHz","","","銀座からのラジオ番組"
"15aa62ee-5cb0-41dd-94af-ca8f5fc778d2","2025-10-25T06:36","AM",1250.000,"MHz","","","阪神ゲームの話"
"3cb45d32-e3e2-49b3-baee-f37a67e0dd24","2025-10-25T06:34","AM",1150.000,"MHz","","","スマホの設定で詐欺に遭ったみたいな話"
"4f6bd9fc-03b2-47e1-95ff-d9fbece691e2","2025-10-25T06:32","AM",980.000,"MHz","","","芸能人の学校時代の話"
"0f350da8-68b0-408b-a503-abf8ab19a9cf","2025-10-25T06:31","AM",690.000,"MHz","","","中国語の講座"
"4e1d4aad-6112-4825-b505-10ba7ac2182a","2025-10-25T06:17","AM",590.000,"MHz","","","大人帝国映画の話"
"ae8db6b8-6277-405d-9a52-6cd8625717ca","2025-10-25T04:42","AM",1250.000,"MHz","","","何かのお店の話"
"9ee0610b-b1b0-4cc9-b973-cdf6fc178550","2025-10-25T03:29","AM",1150.000,"MHz","","","退職代行"
"c5947162-28f2-437e-a68d-a4d5f6a2000b","2025-10-25T03:27","AM",980.000,"MHz","","","何かのパーソナリティのクイズ番組？"
"3adfbee3-4a8e-4bd9-8ce6-bccd0004b860","2025-10-25T03:26","AM",690.000,"MHz","","","英語勉強の番組"
"ee6b48a2-121f-47fd-91e4-3764c6c5fe6f","2025-10-25T03:04","AM",590.000,"MHz","","","田舎の話の番組"
